"measure","tp","pred","pearso_p","spearman_p","kendall_p","pearson.sig","spearman.sig","kendall.sig"
"RTISMDMT","B7","severity",0.016,0.004,0.009,"*","**","**"
"RTISMDMT","B7","fivedasc_util_total",0.196,0.218,0.25,"","",""
"RTISMDMT","B7","fivedasc_sprit_total",0.093,0.121,0.153,"","",""
"RTISMDMT","B7","fivedasc_bliss_total",0.173,0.11,0.153,"","",""
"RTISMDMT","B7","fivedasc_insight_total",0.08,0.063,0.063,"","",""
"RTISMDMT","B7","fivedasc_dis_total",0.069,0.14,0.153,"","",""
"RTISMDMT","B7","fivedasc_imp_total",0.551,0.635,0.841,"","",""
"RTISMDMT","B7","fivedasc_anx_total",0.365,0.485,0.545,"","",""
"RTISMDMT","B7","fivedasc_cimg_total",0.915,0.983,0.945,"","",""
"RTISMDMT","B7","fivedasc_eimg_total",0.499,0.886,0.947,"","",""
"RTISMDMT","B7","fivedasc_av_total",0.451,0.514,0.545,"","",""
"RTISMDMT","B7","fivedasc_per_total",0.412,0.227,0.197,"","",""
"RTISMDMT","B7","boundlessMean",0.12,0.154,0.197,"","",""
"RTISMDMT","B7","anxiousEgoMean",0.572,0.8,0.841,"","",""
"RTISMDMT","B7","visionaryMean",0.795,0.939,0.947,"","",""
"RTISMDMT","bsl","age",0.32,0.256,0.25,"","",""
"RTISMDMT","bsl","LED",0.989,0.795,0.75,"","",""
"RTISMDMT","bsl","severity",0.017,0.019,0.021,"*","*","*"
"RTISMDMT","bsl","fivedasc_util_total",0.229,0.308,0.25,"","",""
"RTISMDMT","bsl","fivedasc_sprit_total",0.139,0.266,0.25,"","",""
"RTISMDMT","bsl","fivedasc_bliss_total",0.175,0.184,0.153,"","",""
"RTISMDMT","bsl","fivedasc_insight_total",0.066,0.177,0.063,"","",""
"RTISMDMT","bsl","fivedasc_dis_total",0.494,0.834,0.737,"","",""
"RTISMDMT","bsl","fivedasc_imp_total",0.766,1,1,"","",""
"RTISMDMT","bsl","fivedasc_anx_total",0.634,0.921,0.737,"","",""
"RTISMDMT","bsl","fivedasc_cimg_total",0.943,0.863,0.837,"","",""
"RTISMDMT","bsl","fivedasc_eimg_total",0.531,0.256,0.25,"","",""
"RTISMDMT","bsl","fivedasc_av_total",0.888,0.8,0.947,"","",""
"RTISMDMT","bsl","fivedasc_per_total",0.951,0.543,0.311,"","",""
"RTISMDMT","bsl","boundlessMean",0.134,0.297,0.197,"","",""
"RTISMDMT","bsl","anxiousEgoMean",0.88,0.8,0.841,"","",""
"RTISMDMT","bsl","visionaryMean",0.802,0.8,0.737,"","",""
"RTISMDRT","A7","age",0.982,0.79,1,"","",""
"RTISMDRT","A7","LED",0.718,0.696,0.596,"","",""
"RTISMDRT","A7","severity",0.119,0.199,0.274,"","",""
"RTISMDRT","A7","fivedasc_util_total",0.106,0.073,0.086,"","",""
"RTISMDRT","A7","fivedasc_sprit_total",0.095,0.102,0.086,"","",""
"RTISMDRT","A7","fivedasc_bliss_total",0.145,0.057,0.061,"","",""
"RTISMDRT","A7","fivedasc_insight_total",0.057,0.085,0.118,"","",""
"RTISMDRT","A7","fivedasc_dis_total",0.065,0.194,0.212,"","",""
"RTISMDRT","A7","fivedasc_imp_total",0.931,0.863,0.532,"","",""
"RTISMDRT","A7","fivedasc_anx_total",0.328,0.601,0.639,"","",""
"RTISMDRT","A7","fivedasc_cimg_total",0.66,0.936,0.938,"","",""
"RTISMDRT","A7","fivedasc_eimg_total",0.683,0.64,0.639,"","",""
"RTISMDRT","A7","fivedasc_av_total",0.742,0.669,0.639,"","",""
"RTISMDRT","A7","fivedasc_per_total",0.312,0.199,0.16,"","",""
"RTISMDRT","A7","boundlessMean",0.09,0.073,0.086,"","",""
"RTISMDRT","A7","anxiousEgoMean",0.434,0.564,0.435,"","",""
"RTISMDRT","A7","visionaryMean",0.619,0.582,0.532,"","",""
"RTISMDRT","B30","age",0.807,0.404,0.381,"","",""
"RTISMDRT","B30","LED",0.735,0.983,0.916,"","",""
"RTISMDRT","B30","severity",0.349,0.43,0.545,"","",""
"RTISMDRT","B30","fivedasc_util_total",0.109,0.256,0.25,"","",""
"RTISMDRT","B30","fivedasc_sprit_total",0.091,0.218,0.25,"","",""
"RTISMDRT","B30","fivedasc_bliss_total",0.179,0.266,0.153,"","",""
"RTISMDRT","B30","fivedasc_insight_total",0.038,0.246,0.197,"*","",""
"RTISMDRT","B30","fivedasc_dis_total",0.031,0.121,0.086,"*","",""
"RTISMDRT","B30","fivedasc_imp_total",0.871,0.733,0.459,"","",""
"RTISMDRT","B30","fivedasc_anx_total",0.453,0.974,0.947,"","",""
"RTISMDRT","B30","fivedasc_cimg_total",0.839,0.974,0.837,"","",""
"RTISMDRT","B30","fivedasc_eimg_total",0.795,0.7,0.737,"","",""
"RTISMDRT","B30","fivedasc_av_total",0.884,0.471,0.545,"","",""
"RTISMDRT","B30","fivedasc_per_total",0.126,0.417,0.311,"","",""
"RTISMDRT","B30","boundlessMean",0.088,0.246,0.197,"","",""
"RTISMDRT","B30","anxiousEgoMean",0.316,0.354,0.311,"","",""
"RTISMDRT","B30","visionaryMean",0.752,0.921,0.737,"","",""
"RTISMDRT","B7","age",0.591,0.672,0.63,"","",""
"RTISMDRT","B7","LED",0.683,0.82,0.831,"","",""
"RTISMDRT","B7","severity",0.177,0.103,0.086,"","",""
"RTISMDRT","B7","fivedasc_util_total",0.057,0.04,0.063,"","*",""
"RTISMDRT","B7","fivedasc_sprit_total",0.028,0.02,0.016,"*","*","*"
"RTISMDRT","B7","fivedasc_bliss_total",0.077,0.033,0.033,"","*","*"
"RTISMDRT","B7","fivedasc_insight_total",0.039,0.04,0.046,"*","*","*"
"RTISMDRT","B7","fivedasc_dis_total",0.005,0.005,0.005,"**","**","**"
"RTISMDRT","B7","fivedasc_imp_total",0.594,0.82,0.945,"","",""
"RTISMDRT","B7","fivedasc_anx_total",0.426,0.829,0.945,"","",""
"RTISMDRT","B7","fivedasc_cimg_total",0.708,0.931,0.783,"","",""
"RTISMDRT","B7","fivedasc_eimg_total",0.492,0.571,0.536,"","",""
"RTISMDRT","B7","fivedasc_av_total",0.718,0.429,0.372,"","",""
"RTISMDRT","B7","fivedasc_per_total",0.153,0.062,0.046,"","","*"
"RTISMDRT","B7","boundlessMean",0.042,0.037,0.046,"*","*","*"
"RTISMDRT","B7","anxiousEgoMean",0.259,0.127,0.114,"","",""
"RTISMDRT","B7","visionaryMean",0.999,0.991,0.945,"","",""
"RTISMDRT","bsl","age",0.593,0.869,0.841,"","",""
"RTISMDRT","bsl","LED",0.903,0.762,0.75,"","",""
"RTISMDRT","bsl","severity",0.017,0.016,0.014,"*","*","*"
"RTISMDRT","bsl","fivedasc_util_total",0.104,0.071,0.116,"","",""
"RTISMDRT","bsl","fivedasc_sprit_total",0.063,0.063,0.063,"","",""
"RTISMDRT","bsl","fivedasc_bliss_total",0.107,0.04,0.063,"","*",""
"RTISMDRT","bsl","fivedasc_insight_total",0.023,0.022,0.021,"*","*","*"
"RTISMDRT","bsl","fivedasc_dis_total",0.036,0.075,0.116,"*","",""
"RTISMDRT","bsl","fivedasc_imp_total",0.736,1,0.947,"","",""
"RTISMDRT","bsl","fivedasc_anx_total",0.402,0.635,0.638,"","",""
"RTISMDRT","bsl","fivedasc_cimg_total",0.811,0.897,0.945,"","",""
"RTISMDRT","bsl","fivedasc_eimg_total",0.678,0.379,0.638,"","",""
"RTISMDRT","bsl","fivedasc_av_total",0.987,0.921,1,"","",""
"RTISMDRT","bsl","fivedasc_per_total",0.339,0.099,0.086,"","",""
"RTISMDRT","bsl","boundlessMean",0.06,0.063,0.086,"","",""
"RTISMDRT","bsl","anxiousEgoMean",0.394,0.457,0.545,"","",""
"RTISMDRT","bsl","visionaryMean",0.656,0.514,0.459,"","",""
"SWMBE12","A7","age",0.193,0.134,0.149,"","",""
"SWMBE12","A7","LED",0.924,0.617,0.596,"","",""
"SWMBE12","A7","severity",0.167,0.307,0.372,"","",""
"SWMBE12","A7","fivedasc_util_total",0.749,0.846,0.731,"","",""
"SWMBE12","A7","fivedasc_sprit_total",0.719,0.948,0.945,"","",""
"SWMBE12","A7","fivedasc_bliss_total",0.581,0.656,0.536,"","",""
"SWMBE12","A7","fivedasc_insight_total",0.716,0.948,0.945,"","",""
"SWMBE12","A7","fivedasc_dis_total",0.806,0.787,0.63,"","",""
"SWMBE12","A7","fivedasc_imp_total",0.232,0.436,0.372,"","",""
"SWMBE12","A7","fivedasc_anx_total",0.587,0.762,0.63,"","",""
"SWMBE12","A7","fivedasc_cimg_total",0.417,0.871,0.783,"","",""
"SWMBE12","A7","fivedasc_eimg_total",0.417,0.24,0.536,"","",""
"SWMBE12","A7","fivedasc_av_total",0.247,0.397,0.536,"","",""
"SWMBE12","A7","fivedasc_per_total",0.553,0.966,0.945,"","",""
"SWMBE12","A7","boundlessMean",0.679,0.88,0.837,"","",""
"SWMBE12","A7","anxiousEgoMean",0.371,0.688,0.837,"","",""
"SWMBE12","A7","visionaryMean",0.472,0.347,0.372,"","",""
"SWMBE12","B30","age",0.001,0.001,0.001,"**","***","***"
"SWMBE12","B30","LED",0.972,0.601,0.75,"","",""
"SWMBE12","B30","severity",0.105,0.028,0.045,"","*","*"
"SWMBE12","B30","fivedasc_util_total",0.962,0.869,0.947,"","",""
"SWMBE12","B30","fivedasc_sprit_total",0.923,0.869,0.947,"","",""
"SWMBE12","B30","fivedasc_bliss_total",0.692,0.457,0.545,"","",""
"SWMBE12","B30","fivedasc_insight_total",0.991,0.604,0.638,"","",""
"SWMBE12","B30","fivedasc_dis_total",0.692,0.869,0.737,"","",""
"SWMBE12","B30","fivedasc_imp_total",0.955,0.8,1,"","",""
"SWMBE12","B30","fivedasc_anx_total",0.821,0.921,0.947,"","",""
"SWMBE12","B30","fivedasc_cimg_total",0.885,0.846,0.945,"","",""
"SWMBE12","B30","fivedasc_eimg_total",0.714,0.817,0.737,"","",""
"SWMBE12","B30","fivedasc_av_total",0.302,0.266,0.25,"","",""
"SWMBE12","B30","fivedasc_per_total",0.493,0.716,0.638,"","",""
"SWMBE12","B30","boundlessMean",0.881,0.834,0.841,"","",""
"SWMBE12","B30","anxiousEgoMean",0.708,0.852,1,"","",""
"SWMBE12","B30","visionaryMean",0.474,0.444,0.545,"","",""
"SWMBE12","B7","age",0.141,0.058,0.054,"","",""
"SWMBE12","B7","LED",0.528,0.16,0.108,"","",""
"SWMBE12","B7","severity",0.07,0.017,0.019,"","*","*"
"SWMBE12","B7","fivedasc_util_total",0.422,0.905,0.679,"","",""
"SWMBE12","B7","fivedasc_sprit_total",0.421,0.862,0.679,"","",""
"SWMBE12","B7","fivedasc_bliss_total",0.304,0.778,0.679,"","",""
"SWMBE12","B7","fivedasc_insight_total",0.247,0.704,0.582,"","",""
"SWMBE12","B7","fivedasc_dis_total",0.06,0.483,0.491,"","",""
"SWMBE12","B7","fivedasc_imp_total",0.967,0.778,0.89,"","",""
"SWMBE12","B7","fivedasc_anx_total",0.987,0.948,0.783,"","",""
"SWMBE12","B7","fivedasc_cimg_total",0.988,0.297,0.189,"","",""
"SWMBE12","B7","fivedasc_eimg_total",0.861,0.72,0.679,"","",""
"SWMBE12","B7","fivedasc_av_total",0.294,0.154,0.13,"","",""
"SWMBE12","B7","fivedasc_per_total",0.475,0.712,0.783,"","",""
"SWMBE12","B7","boundlessMean",0.331,0.948,0.783,"","",""
"SWMBE12","B7","anxiousEgoMean",0.19,0.72,0.679,"","",""
"SWMBE12","B7","visionaryMean",0.865,0.317,0.335,"","",""
"SWMBE12","bsl","age",0.03,0.041,0.019,"*","*","*"
"SWMBE12","bsl","LED",0.513,0.37,0.335,"","",""
"SWMBE12","bsl","severity",0.255,0.364,0.408,"","",""
"SWMBE12","bsl","fivedasc_util_total",0.826,0.68,0.783,"","",""
"SWMBE12","bsl","fivedasc_sprit_total",0.725,0.648,0.582,"","",""
"SWMBE12","bsl","fivedasc_bliss_total",0.688,0.442,0.408,"","",""
"SWMBE12","bsl","fivedasc_insight_total",0.818,0.519,0.491,"","",""
"SWMBE12","bsl","fivedasc_dis_total",0.691,0.593,0.582,"","",""
"SWMBE12","bsl","fivedasc_imp_total",0.436,0.383,0.27,"","",""
"SWMBE12","bsl","fivedasc_anx_total",0.352,0.497,0.491,"","",""
"SWMBE12","bsl","fivedasc_cimg_total",0.151,0.355,0.369,"","",""
"SWMBE12","bsl","fivedasc_eimg_total",0.608,0.991,0.89,"","",""
"SWMBE12","bsl","fivedasc_av_total",0.597,0.778,0.783,"","",""
"SWMBE12","bsl","fivedasc_per_total",0.83,0.664,0.679,"","",""
"SWMBE12","bsl","boundlessMean",0.755,0.664,0.679,"","",""
"SWMBE12","bsl","anxiousEgoMean",0.297,0.593,0.582,"","",""
"SWMBE12","bsl","visionaryMean",0.401,0.786,0.783,"","",""
"SWMBE4","A7","age",0.053,0.012,0.016,"","*","*"
"SWMBE4","A7","LED",0.636,0.883,0.822,"","",""
"SWMBE4","A7","severity",0.689,0.55,0.587,"","",""
"SWMBE4","A7","fivedasc_util_total",0.741,0.952,0.938,"","",""
"SWMBE4","A7","fivedasc_sprit_total",0.965,0.68,0.698,"","",""
"SWMBE4","A7","fivedasc_bliss_total",0.541,0.809,0.816,"","",""
"SWMBE4","A7","fivedasc_insight_total",0.994,0.837,0.816,"","",""
"SWMBE4","A7","fivedasc_dis_total",0.599,0.417,0.394,"","",""
"SWMBE4","A7","fivedasc_imp_total",0.89,0.753,0.698,"","",""
"SWMBE4","A7","fivedasc_anx_total",0.981,0.734,0.587,"","",""
"SWMBE4","A7","fivedasc_cimg_total",0.906,0.842,1,"","",""
"SWMBE4","A7","fivedasc_eimg_total",0.962,0.894,0.938,"","",""
"SWMBE4","A7","fivedasc_av_total",0.838,0.671,0.698,"","",""
"SWMBE4","A7","fivedasc_per_total",0.74,0.961,0.938,"","",""
"SWMBE4","A7","boundlessMean",0.795,0.828,0.816,"","",""
"SWMBE4","A7","anxiousEgoMean",0.736,0.913,0.938,"","",""
"SWMBE4","A7","visionaryMean",0.887,0.753,0.698,"","",""
"SWMBE4","B30","age",0.948,0.677,0.593,"","",""
"SWMBE4","B30","LED",0.01,0.265,0.24,"*","",""
"SWMBE4","B30","severity",0.38,0.974,0.915,"","",""
"SWMBE4","B30","fivedasc_util_total",0.643,0.342,0.336,"","",""
"SWMBE4","B30","fivedasc_sprit_total",0.738,0.36,0.336,"","",""
"SWMBE4","B30","fivedasc_bliss_total",0.812,0.593,0.593,"","",""
"SWMBE4","B30","fivedasc_insight_total",0.77,0.778,0.749,"","",""
"SWMBE4","B30","fivedasc_dis_total",0.545,0.342,0.336,"","",""
"SWMBE4","B30","fivedasc_imp_total",0.139,0.714,0.749,"","",""
"SWMBE4","B30","fivedasc_anx_total",0.384,0.974,0.915,"","",""
"SWMBE4","B30","fivedasc_cimg_total",0.483,0.234,0.239,"","",""
"SWMBE4","B30","fivedasc_eimg_total",0.404,0.274,0.24,"","",""
"SWMBE4","B30","fivedasc_av_total",0.641,0.653,0.593,"","",""
"SWMBE4","B30","fivedasc_per_total",0.987,0.593,0.593,"","",""
"SWMBE4","B30","boundlessMean",0.736,0.47,0.455,"","",""
"SWMBE4","B30","anxiousEgoMean",0.146,0.351,0.336,"","",""
"SWMBE4","B30","visionaryMean",0.502,0.524,0.455,"","",""
"SWMBE4","B7","age",0.994,0.685,0.664,"","",""
"SWMBE4","B7","LED",0.005,0.121,0.117,"**","",""
"SWMBE4","B7","severity",0.158,0.206,0.192,"","",""
"SWMBE4","B7","fivedasc_util_total",0.883,0.893,0.885,"","",""
"SWMBE4","B7","fivedasc_sprit_total",0.973,0.893,0.885,"","",""
"SWMBE4","B7","fivedasc_bliss_total",0.962,0.893,0.885,"","",""
"SWMBE4","B7","fivedasc_insight_total",0.939,0.495,0.469,"","",""
"SWMBE4","B7","fivedasc_dis_total",0.84,0.893,0.885,"","",""
"SWMBE4","B7","fivedasc_imp_total",0.05,0.114,0.111,"*","",""
"SWMBE4","B7","fivedasc_anx_total",0.184,0.206,0.192,"","",""
"SWMBE4","B7","fivedasc_cimg_total",0.758,0.684,0.663,"","",""
"SWMBE4","B7","fivedasc_eimg_total",0.365,0.206,0.192,"","",""
"SWMBE4","B7","fivedasc_av_total",0.6,0.495,0.469,"","",""
"SWMBE4","B7","fivedasc_per_total",0.924,0.893,0.885,"","",""
"SWMBE4","B7","boundlessMean",0.996,0.893,0.885,"","",""
"SWMBE4","B7","anxiousEgoMean",0.128,0.114,0.111,"","",""
"SWMBE4","B7","visionaryMean",0.513,0.495,0.469,"","",""
"SWMBE4","bsl","age",0.036,0.085,0.084,"*","",""
"SWMBE4","bsl","LED",0.891,0.672,0.822,"","",""
"SWMBE4","bsl","severity",0.353,0.287,0.314,"","",""
"SWMBE4","bsl","fivedasc_util_total",0.545,0.77,0.774,"","",""
"SWMBE4","bsl","fivedasc_sprit_total",0.546,0.753,0.774,"","",""
"SWMBE4","bsl","fivedasc_bliss_total",0.598,0.77,0.774,"","",""
"SWMBE4","bsl","fivedasc_insight_total",0.83,0.805,0.886,"","",""
"SWMBE4","bsl","fivedasc_dis_total",0.575,0.619,0.565,"","",""
"SWMBE4","bsl","fivedasc_imp_total",0.792,0.685,0.774,"","",""
"SWMBE4","bsl","fivedasc_anx_total",0.831,0.719,0.666,"","",""
"SWMBE4","bsl","fivedasc_cimg_total",0.065,0.054,0.084,"","",""
"SWMBE4","bsl","fivedasc_eimg_total",0.758,0.875,1,"","",""
"SWMBE4","bsl","fivedasc_av_total",0.338,0.287,0.25,"","",""
"SWMBE4","bsl","fivedasc_per_total",0.206,0.668,0.666,"","",""
"SWMBE4","bsl","boundlessMean",0.615,0.652,0.666,"","",""
"SWMBE4","bsl","anxiousEgoMean",0.541,0.603,0.666,"","",""
"SWMBE4","bsl","visionaryMean",0.255,0.299,0.314,"","",""
"SWMBE468","A7","age",0.013,0.041,0.052,"*","*",""
"SWMBE468","A7","LED",0.441,0.862,0.749,"","",""
"SWMBE468","A7","severity",0.13,0.222,0.212,"","",""
"SWMBE468","A7","fivedasc_util_total",0.69,0.811,0.89,"","",""
"SWMBE468","A7","fivedasc_sprit_total",0.637,0.785,1,"","",""
"SWMBE468","A7","fivedasc_bliss_total",0.514,0.576,0.89,"","",""
"SWMBE468","A7","fivedasc_insight_total",0.561,0.794,0.782,"","",""
"SWMBE468","A7","fivedasc_dis_total",0.569,0.794,0.89,"","",""
"SWMBE468","A7","fivedasc_imp_total",0.486,0.502,0.488,"","",""
"SWMBE468","A7","fivedasc_anx_total",0.829,0.583,0.579,"","",""
"SWMBE468","A7","fivedasc_cimg_total",0.621,0.466,0.532,"","",""
"SWMBE468","A7","fivedasc_eimg_total",0.233,0.195,0.166,"","",""
"SWMBE468","A7","fivedasc_av_total",0.091,0.054,0.071,"","",""
"SWMBE468","A7","fivedasc_per_total",0.916,0.719,1,"","",""
"SWMBE468","A7","boundlessMean",0.588,0.845,0.782,"","",""
"SWMBE468","A7","anxiousEgoMean",0.43,0.326,0.267,"","",""
"SWMBE468","A7","visionaryMean",0.222,0.187,0.166,"","",""
"SWMBE468","B30","age",0.07,0.03,0.054,"","*",""
"SWMBE468","B30","LED",0.733,0.743,0.83,"","",""
"SWMBE468","B30","severity",0.304,0.284,0.408,"","",""
"SWMBE468","B30","fivedasc_util_total",0.202,0.352,0.335,"","",""
"SWMBE468","B30","fivedasc_sprit_total",0.199,0.329,0.215,"","",""
"SWMBE468","B30","fivedasc_bliss_total",0.309,0.511,0.408,"","",""
"SWMBE468","B30","fivedasc_insight_total",0.29,0.358,0.27,"","",""
"SWMBE468","B30","fivedasc_dis_total",0.195,0.323,0.27,"","",""
"SWMBE468","B30","fivedasc_imp_total",0.179,0.258,0.168,"","",""
"SWMBE468","B30","fivedasc_anx_total",0.598,0.57,0.491,"","",""
"SWMBE468","B30","fivedasc_cimg_total",0.319,0.212,0.3,"","",""
"SWMBE468","B30","fivedasc_eimg_total",0.228,0.169,0.215,"","",""
"SWMBE468","B30","fivedasc_av_total",0.035,0.041,0.098,"*","*",""
"SWMBE468","B30","fivedasc_per_total",0.06,0.469,0.408,"","",""
"SWMBE468","B30","boundlessMean",0.236,0.306,0.27,"","",""
"SWMBE468","B30","anxiousEgoMean",0.873,0.922,0.783,"","",""
"SWMBE468","B30","visionaryMean",0.022,0.034,0.027,"*","*","*"
"SWMBE468","B7","age",0.057,0.096,0.094,"","",""
"SWMBE468","B7","LED",0.679,0.596,0.451,"","",""
"SWMBE468","B7","severity",0.531,0.465,0.486,"","",""
"SWMBE468","B7","fivedasc_util_total",0.711,0.726,0.676,"","",""
"SWMBE468","B7","fivedasc_sprit_total",0.935,0.965,1,"","",""
"SWMBE468","B7","fivedasc_bliss_total",0.559,0.552,0.486,"","",""
"SWMBE468","B7","fivedasc_insight_total",0.806,0.784,0.78,"","",""
"SWMBE468","B7","fivedasc_dis_total",0.675,0.793,1,"","",""
"SWMBE468","B7","fivedasc_imp_total",0.501,0.734,0.78,"","",""
"SWMBE468","B7","fivedasc_anx_total",0.946,0.948,1,"","",""
"SWMBE468","B7","fivedasc_cimg_total",0.944,0.525,0.53,"","",""
"SWMBE468","B7","fivedasc_eimg_total",0.524,0.348,0.329,"","",""
"SWMBE468","B7","fivedasc_av_total",0.268,0.28,0.329,"","",""
"SWMBE468","B7","fivedasc_per_total",0.683,0.515,0.577,"","",""
"SWMBE468","B7","boundlessMean",0.738,0.827,0.78,"","",""
"SWMBE468","B7","anxiousEgoMean",0.552,0.59,0.676,"","",""
"SWMBE468","B7","visionaryMean",0.644,0.621,0.577,"","",""
"SWMBE468","bsl","age",0.224,0.29,0.335,"","",""
"SWMBE468","bsl","LED",0.979,0.379,0.523,"","",""
"SWMBE468","bsl","severity",0.072,0.111,0.13,"","",""
"SWMBE468","bsl","fivedasc_util_total",0.498,0.364,0.335,"","",""
"SWMBE468","bsl","fivedasc_sprit_total",0.314,0.274,0.215,"","",""
"SWMBE468","bsl","fivedasc_bliss_total",0.55,0.402,0.335,"","",""
"SWMBE468","bsl","fivedasc_insight_total",0.573,0.504,0.408,"","",""
"SWMBE468","bsl","fivedasc_dis_total",0.544,0.335,0.335,"","",""
"SWMBE468","bsl","fivedasc_imp_total",0.417,0.526,0.491,"","",""
"SWMBE468","bsl","fivedasc_anx_total",0.325,0.455,0.408,"","",""
"SWMBE468","bsl","fivedasc_cimg_total",0.051,0.009,0.016,"","**","*"
"SWMBE468","bsl","fivedasc_eimg_total",0.923,0.803,0.783,"","",""
"SWMBE468","bsl","fivedasc_av_total",0.322,0.284,0.215,"","",""
"SWMBE468","bsl","fivedasc_per_total",0.456,0.504,0.408,"","",""
"SWMBE468","bsl","boundlessMean",0.466,0.295,0.27,"","",""
"SWMBE468","bsl","anxiousEgoMean",0.55,0.206,0.335,"","",""
"SWMBE468","bsl","visionaryMean",0.247,0.129,0.13,"","",""
"SWMBE6","A7","age",0.146,0.058,0.089,"","",""
"SWMBE6","A7","LED",0.162,0.657,0.514,"","",""
"SWMBE6","A7","severity",0.788,0.833,0.777,"","",""
"SWMBE6","A7","fivedasc_util_total",0.815,0.341,0.321,"","",""
"SWMBE6","A7","fivedasc_sprit_total",0.899,0.384,0.395,"","",""
"SWMBE6","A7","fivedasc_bliss_total",0.958,0.546,0.479,"","",""
"SWMBE6","A7","fivedasc_insight_total",0.937,0.341,0.257,"","",""
"SWMBE6","A7","fivedasc_dis_total",0.836,0.479,0.571,"","",""
"SWMBE6","A7","fivedasc_imp_total",0.125,0.123,0.066,"","",""
"SWMBE6","A7","fivedasc_anx_total",0.193,0.066,0.066,"","",""
"SWMBE6","A7","fivedasc_cimg_total",0.923,0.85,0.831,"","",""
"SWMBE6","A7","fivedasc_eimg_total",0.161,0.246,0.257,"","",""
"SWMBE6","A7","fivedasc_av_total",0.081,0.024,0.034,"","*","*"
"SWMBE6","A7","fivedasc_per_total",0.58,0.41,0.321,"","",""
"SWMBE6","A7","boundlessMean",0.931,0.323,0.257,"","",""
"SWMBE6","A7","anxiousEgoMean",0.306,0.237,0.202,"","",""
"SWMBE6","A7","visionaryMean",0.166,0.083,0.089,"","",""
"SWMBE6","B30","age",0.043,0.019,0.029,"*","*","*"
"SWMBE6","B30","LED",0.905,0.427,0.389,"","",""
"SWMBE6","B30","severity",0.173,0.141,0.139,"","",""
"SWMBE6","B30","fivedasc_util_total",0.98,0.991,0.944,"","",""
"SWMBE6","B30","fivedasc_sprit_total",0.906,0.93,0.832,"","",""
"SWMBE6","B30","fivedasc_bliss_total",0.747,0.731,0.832,"","",""
"SWMBE6","B30","fivedasc_insight_total",0.873,0.842,0.944,"","",""
"SWMBE6","B30","fivedasc_dis_total",0.987,0.868,0.526,"","",""
"SWMBE6","B30","fivedasc_imp_total",0.524,0.633,0.621,"","",""
"SWMBE6","B30","fivedasc_anx_total",0.783,0.706,0.621,"","",""
"SWMBE6","B30","fivedasc_cimg_total",0.722,0.55,0.572,"","",""
"SWMBE6","B30","fivedasc_eimg_total",0.584,0.578,0.438,"","",""
"SWMBE6","B30","fivedasc_av_total",0.209,0.264,0.29,"","",""
"SWMBE6","B30","fivedasc_per_total",0.762,0.715,0.944,"","",""
"SWMBE6","B30","boundlessMean",0.927,0.947,0.832,"","",""
"SWMBE6","B30","anxiousEgoMean",0.718,0.593,0.526,"","",""
"SWMBE6","B30","visionaryMean",0.39,0.446,0.438,"","",""
"SWMBE6","B7","age",0.141,0.073,0.085,"","",""
"SWMBE6","B7","LED",0.842,0.32,0.328,"","",""
"SWMBE6","B7","severity",0.52,0.266,0.251,"","",""
"SWMBE6","B7","fivedasc_util_total",0.923,0.787,0.667,"","",""
"SWMBE6","B7","fivedasc_sprit_total",0.637,0.946,0.774,"","",""
"SWMBE6","B7","fivedasc_bliss_total",0.971,0.66,0.667,"","",""
"SWMBE6","B7","fivedasc_insight_total",0.961,0.787,0.667,"","",""
"SWMBE6","B7","fivedasc_dis_total",0.639,0.875,0.774,"","",""
"SWMBE6","B7","fivedasc_imp_total",0.753,0.761,0.774,"","",""
"SWMBE6","B7","fivedasc_anx_total",0.773,0.503,0.473,"","",""
"SWMBE6","B7","fivedasc_cimg_total",0.303,0.181,0.28,"","",""
"SWMBE6","B7","fivedasc_eimg_total",0.915,0.652,0.566,"","",""
"SWMBE6","B7","fivedasc_av_total",0.384,0.424,0.389,"","",""
"SWMBE6","B7","fivedasc_per_total",0.746,0.702,0.667,"","",""
"SWMBE6","B7","boundlessMean",0.902,0.92,0.774,"","",""
"SWMBE6","B7","anxiousEgoMean",0.721,0.693,0.566,"","",""
"SWMBE6","B7","visionaryMean",0.461,0.643,0.667,"","",""
"SWMBE6","bsl","age",0.247,0.099,0.123,"","",""
"SWMBE6","bsl","LED",0.898,0.502,0.447,"","",""
"SWMBE6","bsl","severity",0.222,0.241,0.207,"","",""
"SWMBE6","bsl","fivedasc_util_total",0.097,0.091,0.123,"","",""
"SWMBE6","bsl","fivedasc_sprit_total",0.047,0.072,0.068,"*","",""
"SWMBE6","bsl","fivedasc_bliss_total",0.13,0.117,0.123,"","",""
"SWMBE6","bsl","fivedasc_insight_total",0.089,0.162,0.161,"","",""
"SWMBE6","bsl","fivedasc_dis_total",0.136,0.096,0.092,"","",""
"SWMBE6","bsl","fivedasc_imp_total",0.554,0.572,0.483,"","",""
"SWMBE6","bsl","fivedasc_anx_total",0.418,0.52,0.483,"","",""
"SWMBE6","bsl","fivedasc_cimg_total",0.005,0.002,0.006,"**","**","**"
"SWMBE6","bsl","fivedasc_eimg_total",0.791,0.527,0.483,"","",""
"SWMBE6","bsl","fivedasc_av_total",0.282,0.186,0.161,"","",""
"SWMBE6","bsl","fivedasc_per_total",0.13,0.251,0.161,"","",""
