"measure","tp","pred","pearson_cor","spearman_rho","kendall_tau","pearson_p","spearman_p","kendall_p","pearson_sig","spearman_sig","kendall_sig"
"MTSPS82","B7","fivedasc_insight_total",0.105,0.056,0.091,0.746,0.869,0.737,"","",""
"MTSPS82","B7","fivedasc_dis_total",0.051,0.098,0.121,0.874,0.766,0.638,"","",""
"MTSPS82","B7","fivedasc_imp_total",0.114,0.049,0.03,0.725,0.886,0.947,"","",""
"MTSPS82","B7","fivedasc_anx_total",0.403,0.413,0.303,0.194,0.184,0.197,"","",""
"MTSPS82","B7","fivedasc_cimg_total",0.471,0.466,0.351,0.122,0.127,0.114,"","",""
"MTSPS82","B7","fivedasc_eimg_total",-0.455,-0.063,-0.061,0.137,0.852,0.841,"","",""
"MTSPS82","B7","fivedasc_av_total",-0.48,-0.336,-0.242,0.114,0.287,0.311,"","",""
"MTSPS82","B7","fivedasc_per_total",-0.154,-0.077,-0.03,0.634,0.817,0.947,"","",""
"MTSPS82","B7","boundlessMean",0.076,0.07,0.091,0.814,0.834,0.737,"","",""
"MTSPS82","B7","anxiousEgoMean",0.274,0.371,0.212,0.389,0.237,0.381,"","",""
"MTSPS82","B7","visionaryMean",-0.278,-0.042,0,0.381,0.904,1,"","",""
"MTSPS82","bsl","age",0.566,0.357,0.212,0.055,0.256,0.381,"","",""
"MTSPS82","bsl","LED",0.282,0.228,0.145,0.462,0.555,0.596,"","",""
"MTSPS82","bsl","severity",0.232,0.133,0.091,0.468,0.683,0.737,"","",""
"MTSPS82","bsl","fivedasc_util_total",0.477,0.483,0.333,0.117,0.115,0.153,"","",""
"MTSPS82","bsl","fivedasc_sprit_total",0.437,0.378,0.212,0.156,0.227,0.381,"","",""
"MTSPS82","bsl","fivedasc_bliss_total",0.536,0.517,0.333,0.072,0.089,0.153,"","",""
"MTSPS82","bsl","fivedasc_insight_total",0.315,0.308,0.182,0.319,0.331,0.459,"","",""
"MTSPS82","bsl","fivedasc_dis_total",0.243,0.119,0.091,0.446,0.716,0.737,"","",""
"MTSPS82","bsl","fivedasc_imp_total",-0.117,-0.14,-0.061,0.718,0.667,0.841,"","",""
"MTSPS82","bsl","fivedasc_anx_total",-0.138,-0.105,-0.091,0.67,0.749,0.737,"","",""
"MTSPS82","bsl","fivedasc_cimg_total",0.221,0.228,0.168,0.489,0.477,0.45,"","",""
"MTSPS82","bsl","fivedasc_eimg_total",0.173,0.049,0.03,0.59,0.886,0.947,"","",""
"MTSPS82","bsl","fivedasc_av_total",0.187,0.21,0.212,0.56,0.514,0.381,"","",""
"MTSPS82","bsl","fivedasc_per_total",0.173,0.266,0.182,0.591,0.404,0.459,"","",""
"MTSPS82","bsl","boundlessMean",0.456,0.441,0.303,0.136,0.154,0.197,"","",""
"MTSPS82","bsl","anxiousEgoMean",0.066,0.105,0.061,0.838,0.749,0.841,"","",""
"MTSPS82","bsl","visionaryMean",0.256,0.217,0.152,0.423,0.499,0.545,"","",""
"MTSRCAMD","A7","age",0.715,0.692,0.545,0.009,0.016,0.014,"**","*","*"
"MTSRCAMD","A7","LED",0.098,-0.076,-0.029,0.801,0.846,0.916,"","",""
"MTSRCAMD","A7","severity",0.565,0.643,0.424,0.055,0.028,0.063,"","*",""
"MTSRCAMD","A7","fivedasc_util_total",0.419,0.392,0.242,0.175,0.21,0.311,"","",""
"MTSRCAMD","A7","fivedasc_sprit_total",0.501,0.441,0.303,0.097,0.154,0.197,"","",""
"MTSRCAMD","A7","fivedasc_bliss_total",0.514,0.538,0.364,0.087,0.075,0.116,"","",""
"MTSRCAMD","A7","fivedasc_insight_total",0.461,0.476,0.333,0.131,0.121,0.153,"","",""
"MTSRCAMD","A7","fivedasc_dis_total",0.387,0.266,0.182,0.214,0.404,0.459,"","",""
"MTSRCAMD","A7","fivedasc_imp_total",-0.087,-0.168,-0.091,0.788,0.604,0.737,"","",""
"MTSRCAMD","A7","fivedasc_anx_total",-0.015,-0.056,-0.061,0.964,0.869,0.841,"","",""
"MTSRCAMD","A7","fivedasc_cimg_total",0.211,0.077,0.076,0.509,0.812,0.731,"","",""
"MTSRCAMD","A7","fivedasc_eimg_total",-0.031,-0.028,-0.061,0.924,0.939,0.841,"","",""
"MTSRCAMD","A7","fivedasc_av_total",-0.161,-0.217,-0.121,0.617,0.499,0.638,"","",""
"MTSRCAMD","A7","fivedasc_per_total",0.123,0.357,0.273,0.703,0.256,0.25,"","",""
"MTSRCAMD","A7","boundlessMean",0.487,0.42,0.273,0.108,0.177,0.25,"","",""
"MTSRCAMD","A7","anxiousEgoMean",0.241,0.203,0.091,0.451,0.528,0.737,"","",""
"MTSRCAMD","A7","visionaryMean",0.032,-0.042,0,0.922,0.904,1,"","",""
"MTSRCAMD","B30","age",0.569,0.594,0.424,0.053,0.046,0.063,"","*",""
"MTSRCAMD","B30","LED",-0.116,-0.177,-0.029,0.766,0.648,0.916,"","",""
"MTSRCAMD","B30","severity",0.79,0.804,0.606,0.002,0.003,0.005,"**","**","**"
"MTSRCAMD","B30","fivedasc_util_total",0.33,0.378,0.242,0.295,0.227,0.311,"","",""
"MTSRCAMD","B30","fivedasc_sprit_total",0.449,0.462,0.364,0.143,0.134,0.116,"","",""
"MTSRCAMD","B30","fivedasc_bliss_total",0.415,0.503,0.364,0.18,0.099,0.116,"","",""
"MTSRCAMD","B30","fivedasc_insight_total",0.502,0.503,0.333,0.096,0.099,0.153,"","",""
"MTSRCAMD","B30","fivedasc_dis_total",0.459,0.378,0.303,0.133,0.227,0.197,"","",""
"MTSRCAMD","B30","fivedasc_imp_total",-0.036,-0.084,-0.03,0.911,0.8,0.947,"","",""
"MTSRCAMD","B30","fivedasc_anx_total",-0.056,-0.042,-0.061,0.863,0.904,0.841,"","",""
"MTSRCAMD","B30","fivedasc_cimg_total",0.097,0.056,0.015,0.764,0.863,0.945,"","",""
"MTSRCAMD","B30","fivedasc_eimg_total",-0.011,0.077,0.061,0.974,0.817,0.841,"","",""
"MTSRCAMD","B30","fivedasc_av_total",-0.249,-0.231,-0.182,0.436,0.471,0.459,"","",""
"MTSRCAMD","B30","fivedasc_per_total",0.106,0.343,0.273,0.743,0.276,0.25,"","",""
"MTSRCAMD","B30","boundlessMean",0.434,0.413,0.273,0.159,0.184,0.25,"","",""
"MTSRCAMD","B30","anxiousEgoMean",0.293,0.231,0.152,0.356,0.471,0.545,"","",""
"MTSRCAMD","B30","visionaryMean",-0.028,-0.07,-0.061,0.931,0.834,0.841,"","",""
