"measure","tp","est","SE","df","t.value","p.value","sig"
"CSSRS","LED",0,0,8,-0.57,"0.584",""
"CSSRS","severity",0.01,0.05,8,0.32,"0.755",""
"CSSRS","tp(A7):genderM",-0.42,1.4,6,-0.3,"0.776",""
"CSSRS","tp(B7):genderM",-0.92,1.4,6,-0.66,"0.535",""
"CSSRS","tp(B30):genderM",-0.42,1.4,6,-0.3,"0.776",""
"CSSRS","tp(A7):eduLOE_4",-0.74,1.16,6,-0.64,"0.547",""
"CSSRS","tp(B7):eduLOE_4",0.12,1.16,6,0.1,"0.924",""
"CSSRS","tp(B30):eduLOE_4",-0.74,1.16,6,-0.64,"0.547",""
"CSSRS","tp(A7):eduLOE_5",-0.57,1.24,6,-0.46,"0.665",""
"CSSRS","tp(B7):eduLOE_5",-0.06,1.24,6,-0.05,"0.963",""
"CSSRS","tp(B30):eduLOE_5",-0.57,1.24,6,-0.46,"0.665",""
"CSSRS","tp(A7):age",-0.1,0.1,6,-1,"0.355",""
"CSSRS","tp(B7):age",-0.09,0.1,6,-0.92,"0.394",""
"CSSRS","tp(B30):age",-0.1,0.1,6,-1,"0.355",""
"CSSRS","tp(A7):LED",0,0,6,0.93,"0.387",""
"CSSRS","tp(B7):LED",0,0,6,0.64,"0.547",""
"CSSRS","tp(B30):LED",0,0,6,0.93,"0.387",""
"CSSRS","tp(A7):severity",0.02,0.06,6,0.26,"0.803",""
"CSSRS","tp(B7):severity",0.01,0.06,6,0.13,"0.900",""
"CSSRS","tp(B30):severity",0.02,0.06,6,0.26,"0.803",""
"ESAPS","(Intercept)",6.86,6.27,6,1.09,"0.316",""
"ESAPS","tp(A7)",-5.09,7.25,6,-0.7,"0.509",""
"ESAPS","tp(B7)",-5.74,7.25,6,-0.79,"0.459",""
"ESAPS","tp(B30)",-9.77,7.25,6,-1.35,"0.227",""
"ESAPS","genderM",0.85,1.68,6,0.51,"0.630",""
"ESAPS","eduLOE_4",-4.64,1.4,6,-3.33,"0.016","*"
"ESAPS","eduLOE_5",-3.64,1.49,6,-2.44,"0.050",""
"ESAPS","age",-0.19,0.12,6,-1.65,"0.150",""
"ESAPS","LED",0.01,0,6,1.99,"0.093",""
"ESAPS","severity",0.23,0.08,6,3.02,"0.023","*"
"ESAPS","tp(A7):genderM",-0.74,1.94,6,-0.38,"0.716",""
"ESAPS","tp(B7):genderM",-1.83,1.94,6,-0.94,"0.381",""
"ESAPS","tp(B30):genderM",-1.42,1.94,6,-0.73,"0.492",""
"ESAPS","tp(A7):eduLOE_4",3.19,1.61,6,1.98,"0.095",""
"ESAPS","tp(B7):eduLOE_4",1.59,1.61,6,0.99,"0.362",""
"ESAPS","tp(B30):eduLOE_4",3.12,1.61,6,1.93,"0.101",""
"ESAPS","tp(A7):eduLOE_5",2.37,1.73,6,1.37,"0.219",""
"ESAPS","tp(B7):eduLOE_5",-1.48,1.73,6,-0.86,"0.423",""
"ESAPS","tp(B30):eduLOE_5",0.1,1.73,6,0.06,"0.955",""
"ESAPS","tp(A7):age",0.14,0.13,6,1.07,"0.324",""
"ESAPS","tp(B7):age",0.09,0.13,6,0.68,"0.523",""
"ESAPS","tp(B30):age",0.17,0.13,6,1.26,"0.254",""
"ESAPS","tp(A7):LED",0,0,6,-1.39,"0.215",""
"ESAPS","tp(B7):LED",0,0,6,0.12,"0.905",""
"ESAPS","tp(B30):LED",0,0,6,-0.23,"0.826",""
"ESAPS","tp(A7):severity",-0.17,0.09,6,-1.9,"0.107",""
"ESAPS","tp(B7):severity",-0.03,0.09,6,-0.29,"0.783",""
"ESAPS","tp(B30):severity",-0.09,0.09,6,-1.01,"0.353",""
"HAMA","(Intercept)",18.16,22.29,2.5,0.81,"0.485",""
"HAMA","tp(A7)",-31.04,12.03,6,-2.58,"0.042","*"
"HAMA","tp(B7)",-8.65,12.03,6,-0.72,"0.499",""
"HAMA","tp(B30)",-16.35,12.03,6,-1.36,"0.223",""
"HAMA","genderM",0.64,5.96,2.5,0.11,"0.923",""
"HAMA","eduLOE_4",-7.07,4.96,2.5,-1.43,"0.266",""
"HAMA","eduLOE_5",-1.83,5.31,2.5,-0.34,"0.757",""
"HAMA","age",0.23,0.41,2.5,0.56,"0.621",""
"HAMA","LED",-0.01,0.01,2.5,-0.91,"0.443",""
"HAMA","severity",-0.27,0.27,2.5,-1,"0.404",""
"HAMA","tp(A7):genderM",8.59,3.22,6,2.67,"0.037","*"
"HAMA","tp(B7):genderM",-2.8,3.22,6,-0.87,"0.418",""
"HAMA","tp(B30):genderM",-9.83,3.22,6,-3.06,"0.022","*"
"HAMA","tp(A7):eduLOE_4",-5.83,2.68,6,-2.18,"0.072",""
"HAMA","tp(B7):eduLOE_4",-5.41,2.68,6,-2.02,"0.090",""
"HAMA","tp(B30):eduLOE_4",-3.51,2.68,6,-1.31,"0.238",""
